129085	g.~Moskva	Zvezdnyy bulvar, d.~17, str.~1	ITAR-TASS
129085	g.~Moskva	Zvezdnyy bulvar, d.~17, str.~1	ITAR-TASS
129085	g.~Moskva	Zvezdnyy bulvar, d.~17, str.~1	ITAR-TASS
119019	g.~Moskva	ul.~Vozdvizhenka, d.~3/5	Rossiyskaya gosudarstvennaya biblioteka
191023	g.~Sankt-Peterburg	ul.~Sadovaya, d.~18	Rossiyskaya natsionalnaya biblioteka
123298	g. Moskva	3-ya Khoroshevskaya ul., d. 17	Gosudarstvennaya publichnaya nauchno-tekhnicheskaya biblioteka Rossii
125190	g.~Moskva	ul.~Usievicha, d.~20a	Vserossiyskiy institut nauchnoy i tekhnicheskoy informatsii RAN
117393	g.~Moskva	ul.~Obrucheva, d.~52	Nauchno-proizvodstvennoe predpriyatie «Toriy»	Ivanovu~I.I.
101000	g.~Moskva	Mospochtamt, a/ya 918	Vserossiyskiy nauchno-issledovatelskiy institut avtomatiki im.~N.L.~Dukhova	Ivanovu~I.I.
101000	g.~Moskva	Mospochtamt, a/ya 918	Vserossiyskiy nauchno-issledovatelskiy institut avtomatiki im.~N.L.~Dukhova	Ivanovu~I.I.
125412	g.~Moskva	ul.~Izhorskaya, d.~13, str.~2	Obedinennyy institut vysokikh temperatur RAN	Ivanovu~I.I.
141980	Moskovskaya~obl., g.~Dubna	ul.~Zholio-Kyuri, d.~6	Obedinennyy institut yadernykh issledovaniy	Ivanovu~I.I.
108840	g.~Moskva, g.~Troitsk	ul.~Fizicheskaya, vl.~27.	Institut yadernykh issledovaniy RAN	Ivanovu~I.I.
410054	g.~Saratov	ul.~Politekhnicheskaya, d.~77	Saratovskiy gosudarstvennyy tekhnicheskiy universitet im.~Gagarina~Yu.A.	Ivanovu~I.I.
119991	g.~Moskva	GSP-1, Leninskie gory, MGU, d.~1, str.~2	Moskovskiy gosudarstvennyy universitet im.~M.V.~Lomonosova, fizicheskiy fakultet	Biblioteka fizicheskogo fakulteta MGU
119991	g.~Moskva	GSP-1, Leninskie gory, MGU, d.~1, str.~2	Moskovskiy gosudarstvennyy universitet im.~M.V.~Lomonosova Nauchno-issledovatelskiy institut yadernoy fiziki MGU	Uchenomu sekretaryu
123182	g.~Moskva	pl.~Akademika Kurchatova, d.~1	Natsionalnyy issledovatelskiy tsentr «Kurchatovskiy institut»	Uchenomu sekretaryu
117259	g.~Moskva	ul.~b.~Cheremushkinskaya, d.~25	Institut teoreticheskoy i eksperimentalnoy fiziki im.~A.I.~Alikhanova Natsionalnogo issledovatelskogo tsentra «Kurchatovskiy institut»	Uchenomu sekretaryu
142280	Moskovskaya~obl., g.~Protvino	pl.~Nauki, d.~1	Institut fiziki vysokikh energiy im.~A.A.~Logunova Natsionalnogo issledovatelskogo tsentra «Kurchatovskiy institut»	Uchenomu sekretaryu
188300	Leningradskaya~obl., g.~Gatchina	Orlova roshcha	Peterburgskiy institut yadernoy fiziki im.~B.P.~Konstantinova Natsionalnogo issledovatelskogo tsentra «Kurchatovskiy institut»	Uchenomu sekretaryu
119991	g.~Moskva	GSP-1, Leninskiy~pr., d.~53	Fizicheskiy institut im.~Lebedeva RAN	Uchenomu sekretaryu
